Timestamp,Source_IP,Destination_IP,Protocol,Length,Status,country,lat,lon,Severity,Threat_Type
23:05:13,103.28.54.148,172.20.10.14,tcp,1329,Safe,Local,0,0,LOW,Normal
23:05:13,172.20.10.14,103.28.54.148,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:13,103.10.124.84,172.20.10.14,tcp,1329,Safe,Local,0,0,LOW,Normal
23:05:13,103.28.54.149,172.20.10.14,tcp,2604,MALICIOUS,USA,37.09,-95.71,MEDIUM,Suspicious Packet Size
23:05:13,146.75.119.82,172.20.10.14,tcp,1329,Safe,Local,0,0,LOW,Normal
23:05:13,172.20.10.14,103.10.124.84,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:13,172.20.10.14,103.28.54.149,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:13,146.75.119.82,172.20.10.14,tcp,1329,Safe,Local,0,0,LOW,Normal
23:05:13,103.28.54.149,172.20.10.14,tcp,20454,MALICIOUS,Iran,32.42,53.68,HIGH,Large Packet Attack
23:05:13,146.75.119.82,172.20.10.14,tcp,2604,MALICIOUS,Brazil,-14.23,-51.92,MEDIUM,Suspicious Packet Size
23:05:13,146.75.119.82,172.20.10.14,tcp,2604,MALICIOUS,China,35.86,104.19,MEDIUM,Suspicious Packet Size
23:05:13,103.28.54.148,172.20.10.14,tcp,2604,MALICIOUS,Russia,61.52,105.31,MEDIUM,Suspicious Packet Size
23:05:13,103.28.54.151,172.20.10.14,tcp,2604,MALICIOUS,USA,37.09,-95.71,MEDIUM,Suspicious Packet Size
23:05:13,146.75.119.82,172.20.10.14,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,146.75.119.82,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,103.28.54.149,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,146.75.119.82,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,146.75.119.82,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,103.28.54.148,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,103.28.54.151,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,103.28.54.149,172.20.10.14,tcp,5154,MALICIOUS,Brazil,-14.23,-51.92,HIGH,Large Packet Attack
23:05:14,172.20.10.14,103.28.54.149,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,146.75.119.82,172.20.10.14,tcp,713,Safe,Local,0,0,LOW,Normal
23:05:14,103.28.54.148,172.20.10.14,tcp,2604,MALICIOUS,USA,37.09,-95.71,MEDIUM,Suspicious Packet Size
23:05:14,146.75.119.82,172.20.10.14,tcp,2604,MALICIOUS,USA,37.09,-95.71,MEDIUM,Suspicious Packet Size
23:05:14,103.28.54.149,172.20.10.14,tcp,2604,MALICIOUS,Iran,32.42,53.68,MEDIUM,Suspicious Packet Size
23:05:14,146.75.119.82,172.20.10.14,tcp,5154,MALICIOUS,Russia,61.52,105.31,HIGH,Large Packet Attack
23:05:14,172.20.10.14,103.28.54.148,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,146.75.119.82,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,103.28.54.149,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,172.20.10.14,146.75.119.82,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,146.75.119.82,172.20.10.14,tcp,3879,MALICIOUS,China,35.86,104.19,MEDIUM,Suspicious Packet Size
23:05:14,172.20.10.14,146.75.119.82,tcp,54,Safe,Local,0,0,LOW,Normal
23:05:14,146.75.119.82,172.20.10.14,tcp,5154,MALICIOUS,N.Korea,40.34,127.51,HIGH,Large Packet Attack
23:05:14,172.20.10.14,146.75.119.82,tcp,54,Safe,Local,0,0,LOW,Normal
